"%s was added to your shopping cart.","%s προστέθηκε στο καλάθι αγορών σας."
"%s was updated in your shopping cart.","%s ενημερώθηκε στο καλάθι αγορών σας."
"* Required Fields","* Υποχρεωτικά Πεδία"
"Checkout Forms Extra","Έξτρα Φόρμες Ολοκλήρωσης Αγορών"
"Checkout Method","Μέθοδος Ολοκλήρωσης Αγορών"
"Checkout Options","Επιλογές Ολοκλήρωσης Αγορών"
"Checkout Progress Wrapper","Εμφάνιση της Εξέλιξης Αγοράς"
"Checkout Section","Τμήμα Ολοκλήρωσης Αγορών"
"Checkout Terms and Conditions","Όροι και Συνθήκες Ολοκλήρωσης Αγορών"
"Checkout as Guest","Ολοκλήρωση Αγορών ως Επισκέπτης"
"Checkout as a Guest or Register","Ολοκληρωστε τις Αγορες σας ως Επισκεπτης ή Εγγραφειτε"
"Checkout with Multiple Addresses","Ολοκλήρωση Αγορών με περισσότερες διευθύνσεις"
"City","Πόλη"
"Clear Shopping Cart","Άδειασμα Καλαθιού Αγορών"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Πατήστε <a href=""%s"" onclick=""this.target=\'_blank\'"">εδώ για εκτύπωση</a> αντιγράφου επιβεβαίωσης της παραγγελίας σας."
"Click <a href=""%s"">here</a> to continue shopping.","Πατήστε <a href=""%s"">εδώ</a> για συνέχιση αγορών."
"Close","Κλείσιμο"
"Company","Εταιρεία"
"Condition Name","Όνομα Συνθήκης"
"Configurable Product Image","Εικόνα Διαμορφώσημου Προϊόντος"
"Configure Cart Item","Διαμόρφωση Είδους στο καλάθι"
"Confirm Password","Επαλήθευση Κωδικού"
"Content","Περιεχόμενο"
"Content Height","Ύψος Περιεχόμενου"
"Content Height (css)","Ύψος Περιεχόμενου (css)"
"Continue","Συνέχεια"
"Continue Shopping","Συνεχίστε τις Αγορές σας"
"Continue to Billing Information","Συνέχεια στις Πληροφορίες Χρέωσης"
"Continue to Review Your Order","Συνέχεια για Ανασκόπηση της Παραγγελίας σας"
"Continue to Shipping Information","Συνέχεια στα Στοιχεία Αποστολής"
"Country","Χώρα"
"Coupon code ""%s"" is not valid.","Ο κωδικός Κουπονιού ""%s"" δεν είναι έγκυρος."
"Coupon code ""%s"" was applied.","Ο κωδικός κουπονιού ""%s"" εφαρμόστηκε. "
"Coupon code was canceled.","Ο κωδικός κουπονιού ακυρώθηκε. "
"Create Billing Address","Δημιουργία Διεύθυνσης Χρέωσης"
"Create Shipping Address","Δημιουργία Διεύθυνσης Αποστολής"
"Create an order from shopping cart","Δημιουργία παραγγελίας από το καλάθι αγορών"
"Create shopping cart","Δημιουργία καλαθιού αγορών"
"Customer Address is not valid.","Η Διεύθυνση του Πελάτη δεν είναι έγκυρη."
"Customer Information","Πληροφορίες Πελάτη"
"Customer's information","Πληροφορίες του Πελάτη"
"Data saving problem","Πρόβλημα Αποθήκευσης Δεδομένων"
"Default Billing","Προκαθορισμένη Χρέωση"
"Default Shipping","Προκαθορισμένη Αποστολή"
"Delete Condition","Διαγραφή Συνθήκης"
"Details","Λεπτομέρειες"
"Disabled","Απενεργοποιημένο"
"Discount Codes","Κωδικοί Έκπτωσης"
"Display Cart Summary","Εμφάνιση Περίληψης Καλαθιού"
"Display Shopping Cart Sidebar","Εμφάνιση Καλαθιού Αγορών στη Πλευρική Στήλη"
"Display item quantities","Εμφάνιση Ποσότητας Προϊόντων"
"Display number of items in cart","Εμφάνιση Αριθμών Προϊόντων στο Καλάθι"
"Display number of items in wishlist","Εμφάνιση αριθμού ειδών στη λίστα επιθυμητών "
"Easy access to your order history and status","Εύκολη πρόσβαση στη κατάσταση και στο ιστορικό των παραγγελιών σας"
"Edit","Επεξεργασία"
"Edit Address","Επεξεργασία"
"Edit Billing Address","Επεξεργασία Διεύθυνσης Χρέωσης"
"Edit Condition","Επεξεργασία Συνθήκης"
"Edit Items","Επεξεργασία Προϊόντος"
"Edit Shipping Address","Επεξεργασία Διεύθυνσης Αποστολής"
"Edit Terms and Conditions","Επεξεργασία Όρων και Προϋποθέσεων"
"Edit Your Cart","Επεξεργασία Καλαθιού"
"Edit item","Επεξεργασία είδους"
"Edit item parameters","Επεξεργασία παραμέτρων είδους"
"Email Address","Διεύθυνση Email"
"Empty Cart","Άδειασμα Καλαθιού"
"Empty Shopping Cart Content Before","Περιεχόμενο Καλαθιού Αγορών Πριν το Άδειασμα "
"Enable Onepage Checkout","Ενεργοποίηση Ολοκλήρωσης Αγορών σε Ένα Βήμα"
"Enable Terms and Conditions","Ενεργοποίηση Όρων και Προϋποθέσεων"
"Enabled","Ενεργοποιημένο"
"Enter a New Address","Εισαγωγή Νέας Διεύθυνσης"
"Enter your coupon code if you have one.","Εισάγετε το κωδικό του κουπονιού σας εάν έχετε."
"Enter your destination to get a shipping estimate.","Εισάγετε τον προορισμό σας για να πάρετε μια εκτίμηση μεταφορικών."
"Estimate","Εκτίμηση "
"Estimate Shipping and Tax","Εκτιμηση Μεταφορικων και Φορων"
"Excl. Tax","Μη Συμπ. Φόρος"
"Fast and easy check out","Γρήγορη και εύκολη ολοκλήρωση αγορών"
"Fax","Φαξ"
"Forgot an Item?","Ξεχάσατε ένα αντικείμενο;"
"Forgot your password?","Ξεχάσατε τον κωδικό σας;"
"Get a Quote","Πάρτε μια Εκτίμηση"
"Get list of available payment methods","Λήψη λίστας με τις διαθέσιμες μεθόδους πληρωμής"
"Get list of available shipping methods","Λήψη λίστας με τις διαθέσιμες μεθόδους αποστολής"
"Get list of products in shopping cart","Λήψη λίστας προϊόντων στο καλάθι αγορών"
"Get terms and conditions","Λήψη όρων και προϋποθέσεων"
"Get total prices for shopping cart","Λήψη συνολικών τιμών για το καλάθι αγορών"
"Gift Message","Μήνυμα Δώρου"
"Grand Total:","Γενικό Σύνολο:"
"Grouped Product Image","Εικόνα Ομαδοποιημένων Προϊόντων"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Συμπεριλαμβανόμενος Φόρος"
"Invalid checkout type.","Μη έγκυρος τύπος ολοκλήρωσης αγορών."
"Invalid data.","Μη έγκυρα δεδομένα."
"Invalid email address ""%s""","Μη έγκυρη διεύθυνση email ""%s"""
"Invalid method: %s","Μη έγκυρη μέθοδος: %s"
"Invalid shipping method.","Άκυρη Μέθοδος Αποστολής."
"Item not found or already ordered","Το είδος δεν βρέθηκε ή έχει ήδη παραγγελθεί"
"Item was removed successfully.","Το είδος αφαιρέθηκε με επιτυχία. "
"Item was updated successfully.","Το είδος ανανεώθηκε με επιτυχία."
"Items","Είδη"
"Items After","Είδη Μετά"
"Items Before","Είδη Πριν"
"Load customer quote error","Φόρτωση αναφοράς σφάλματος πελάτη"
"Loading next step...","Αναμονή για το επόμενο βήμα..."
"Login","Σύνδεση"
"Login/Registration Before","Σύνδεση/Εγγραφή Πρίν"
"Manage Terms and Conditions","Διαχείριση Όρων και Προϋποθέσεων"
"Maximum Display Recently Added Item(s)","Μέγιστη Εμφάνιση Ειδων(ους) που προστέθηκαν πρόσφατα"
"Maximum qty allowed for Shipping to multiple addresses is %s","Η μέγιστη επιτρεπόμενη ποσότητα για Αποστολή σε πολλαπλές διευθύνσεις είναι "
"Mini-cart promotion block","Τμήμα προώθησης μίνι-καλαθιού"
"Minimum order amount is %s","Ελάχιστο σύνολο παραγγελίας είναι %s"
"Move","Μετακίνηση"
"Move to wishlist","Μετακίνηση στα επιθυμητά"
"Move to Wishlist","Μετακίνηση στα Επιθυμητά"
"Multishipping Checkout","Ολοκλήρωση Αγορών Συνδυαστικών Αποστολών  "
"Multishipping Checkout Address (Any) Form","Φόρμα (κάθε) Διεύθυνσης Ολοκλήρωσης Αγορών Συνδυαστικών Αποστολών"
"Multishipping Checkout Billing Address Creation","Δημιουργία Διεύθυνσης Χρέωσης Ολοκλήρωσης Αγορών Συνδυαστικών Αποστολών"
"Multishipping Checkout Billing Address Edit Form","Φόρμα επεξεργασίας Διεύθυνσης Χρέωσης Ολοκλήρωσης Αγορών Συνδυαστικών Αποστολών"
"Multishipping Checkout Billing Address Selection","Επιλογή Διεύθυνσης Χρέωσης Ολοκλήρωσης Αγορών Συνδυαστικών Αποστολών"
"Multishipping Checkout Billing Information Step","Στάδιο Πληροφοριών Χρέωσης Ολοκλήρωσης Αγορών Συνδυαστικών Αποστολών"
"Multishipping Checkout Customer Address Edit Form","Φόρμα επεξεργασίας Διεύθυνσης Πελάτη Ολοκλήρωσης Αγορών Συνδυαστικών Αποστολών"
"Multishipping Checkout Overview","Γρήγορη Επισκόπηση Ολοκλήρωσης Αγορών Συνδυαστικών Αποστολών "
"Multishipping Checkout Shipping Address Creation","Δημιουργία Διεύθυνσης Ολοκλήρωσης Αγορών Συνδυαστικών Αποστολών"
"Multishipping Checkout Shipping Address Edit Form","Φόρμα επεξεργασίας Διεύθυνσης Αποστολής Ολοκλήρωσης Αγορών Συνδυαστικών Αποστολών"
"Multishipping Checkout Shipping Address Selection","Επιλογή Διεύθυνσης Αποστολής Ολοκλήρωσης Αγορών Συνδυαστικών Αποστολών"
"Multishipping Checkout Shipping Information Step","Στάδιο Πληροφοριών Αποστολής Ολοκλήρωσης Αγορών Συνδυαστικών Αποστολών"
"Multishipping Checkout Success","Επιτυχία Ολοκλήρωσης Αγορών Συνδυαστικών Αποστολών"
"My Cart","Καλαθι Αγορων"
"My Cart (%s item)","Το Καλάθι μου (%s αντικείμενα)"
"My Cart (%s items)","Καλάθι (%s προϊόντα)"
"My Cart Extra Actions","Επιπλέον ενέργειες στο καλάθι μου"
"My Cart Link","Σύνδεσμος στο Καλάθι μου"
"New Address","Νέα Διεύθυνση"
"New Condition","Νέα Συνθήκη"
"New Terms and Conditions","Νέοι Όροι και Προϋποθέσεις"
"No Payment Methods","Δεν υπάρχουν Μέθοδοι Πληρωμής"
"ok","ok"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ΤΟ ΓΕΝΙΚΌ ΣΎΝΟΛΟ ΠΑΡΑΓΓΕΛΊΑΣ ΘΑ ΕΜΦΑΝΙΣΤΕΊ ΠΡΙΝ ΥΠΟΒΆΛΕΤΕ ΤΗΝ ΠΑΡΑΓΓΕΛΊΑ"
"One Page Checkout","Μονοσέλιδη Ολοκλήρωση Αγορών"
"One Page Checkout Failure","Αποτυχία Μονοσέλιδης Ολοκλήρωσης Αγορών"
"One Page Checkout Overview","Γρήγορη Επισκόπηση Μονοσέλιδης Ολοκλήρωσης Αγορών"
"One Page Checkout Success","Επιτυχία Μονοσέλιδης Ολοκλήρωσης Αγορών"
"One item of products do not have identifier or sku","Ένα είδος προϊόντων δεν έχει αναγνωριστικό ή sku"
"One item of products is not belong any of quote item","Ένα είδος προϊόντων δεν ανήκει σε κάποιο από τα αναφερόμενα είδη "
"Order #","Παραγγελία #"
"Order Review","Ανασκόπηση Παραγγελίας"
"Order Success","Παραγγελία επιτυχής"
"Order place error.","Σφάλμα κάνοντας παραγγελία "
"Other Items in Your Order","Άλλα Είδη στην Παραγγελία σας"
"Overview Items After","Γρήγορη Επισκόπηση Ειδών Μετά"
"Password","Κωδικός"
"Payment Failed Email Reciever","Παραλήπτης Email Αποτυχίας Πληρωμής"
"Payment Failed Email Sender","Αποστολέας Email Αποτυχίας Πληρωμής"
"Payment Failed Emails","Emails Αποτυχίας Πληρωμής"
"Payment Failed Template","Πρότυπα Email Αποτυχίας Πληρωμής"
"Payment Information","Πληροφορίες Πληρωμής"
"Payment Method","Μέθοδος Πληρωμής"
"Payment Methods After Checkout Button","Πλήκτρο Τρόπων Πληρωμής Μετά το Ταμείο"
"Payment Methods Before","Μέθοδοι Πληρωμής Πριν"
"Payment Methods Before Checkout Button","Πλήκτρο Τρόπων Πληρωμής Πριν το Ταμείο"
"Payment method information","Πληροφορίες Μεθόδου Πληρωμής"
"Payment method is not defined","Δεν προσδιορίστηκε μέθοδος πληρωμής"
"Payment Methods After","Μέθοδοι Πληρωμής Μετά"
"Payment methods in shopping cart","Μέθοδοι Πληρωμής στο καλάθι αγορών"
"Payment profile # %s: ""%s"".","Προφίλ Πληρωμής # %s: ""%s""."
"Place Order","Κάντε Παραγγελία"
"Please agree to all Terms and Conditions before placing the order.","Παρακαλούμε, συμφωνήστε με όλους τους Όρους και Προϋποθέσεις προτού κάνετε την παραγγελία σας."
"Please agree to all Terms and Conditions before placing the orders.","Παρακαλούμε, συμφωνήστε με όλους τους Όρους και Προϋποθέσεις προτού κάνετε τις παραγγελίες σας."
"Please agree to all the terms and conditions before placing the order.","Παρακαλούμε, συμφωνήστε με όλους τους όρους και προϋποθέσεις προτού κάνετε την παραγγελία σας."
"Please check billing address information.","Παρακαλούμε ελέγξτε τις πληροφορίες τις διεύθυνσης λογαριασμού."
"Please check shipping address information.","Παρακαλούμε ελέγξτε τις πληροφορίες τις διεύθυνσης αποστολής."
"Please check shipping addresses information.","Παρακαλούμε ελέγξτε τις πληροφορίες των διευθύνσεων αποστολής."
"Please choose to register or to checkout as a guest","Παρακαλούμε επιλέξτε να εγγραφείτε ή να ολοκληρώσετε τις αγορές ως επισκέπτης"
"Please log in below:","Παρακαλούμε συνδεθείτε παρακάτω:"
"Please select region, state or province","Παρακαλούμε επιλέξτε νομό ή επαρχία"
"Please select shipping address for applicable items","Παρακαλούμε επιλέξτε διεύθυνση αποστολής για ισχύοντα είδη"
"Please select shipping methods for all addresses","Παρακαλούμε επιλέξτε μεθόδους αποστολής για όλες τις διευθύνσεις"
"Please select valid payment method.","Παρακαλούμε, επιλέξτε μία έγκυρη μέθοδο πληρωμής."
"Please specify payment method.","Παρακαλούμε, καθορίστε μία μέθοδο πληρωμής."
"Please specify shipping method.","Παρακαλούμε, καθορίστε μία μέθοδο αποστολής."
"Please specify shipping methods for all addresses.","Παρακαλούμε, καθορίστε μέθοδο αποστολής για όλες τις διευθύνσεις."
"Price","Τιμή"
"Proceed to Checkout","Συνέχεια στην Ολοκλήρωση Αγορών"
"Product","Προϊόν"
"Product Name","Όνομα Προϊόντος"
"Products","Προϊόντα"
"Qty","Ποσ."
"Qty:","Ποσ:"
"Quantity was recalculated from %d to %d","Η Ποσότητα υπολογίζεται εκ νέου από το %d στο %d"
"Quote Lifetime (days)","Διάρκεια Εκτίμησης (ημέρες)"
"Quote item does not exist.","Η Εκτίμηση-Προσφορά του είδους δεν υπάρχει."
"Quote item is not found.","Η Εκτίμηση-Προσφορά του είδους δεν βρίσκεται."
"Recently added item(s)","Είδη που προστέθηκαν πρόσφατα"
"Register","Εγγραφή"
"Register and save time!","Εγγραφείτε και γλιτώστε χρόνο!"
"Register to Create an Account","Εγγραφείτε για να Δημιουργήσετε έναν Λογαριασμό"
"Register with us for future convenience:","Εγγραφείτε για μελλοντική ευκολία:"
"Remove Item","Αφαίρεση Είδους"
"Remove This Item","Αφαίρεση Αυτού του Είδους"
"Remove coupon code from shopping cart","Αφαίρεση κωδικού κουπονιού από το καλάθι αγορών"
"Remove item","Αφαίρεση είδους"
"Remove product from shopping cart","Αφαίρεση προϊόντος από το καλάθι αγορών"
"Remove product(s) from shopping cart","Αφαίρεση προϊόντος(ων) από το καλάθι αγορών"
"Require Customer To Be Logged In To Checkout","Ο Πελάτης υποχρεούται να είναι Συνδεδεμένος για την Ολοκλήρωση της Παραγγελίας "
"Retrieve information about shopping cart","Ανάκτηση πληροφοριών σχετικά με το καλάθι αγορών"
"Review Order","Ανασκόπηση Παραγγελίας"
"Review Order - %s","Ανασκόπηση Παραγγελίας - %s"
"Sales","Πωλήσεις"
"Save Condition","Αποθήκευση Συνθήκης"
"Save in address book","Αποθήκευση στο βιβλίο διευθύνσεων"
"See price before order confirmation.","Εμφάνιση τιμής πριν την επιβεβαίωση παραγγελίας."
"Select Address","Επιλογή Διεύθυνσης"
"Select Addresses","Επιλογή Διευθύνσεων"
"Select Shipping Method","Επιλογή Μεθόδου Αποστολής"
"Select State/Province...","Επιλογή Νομού/Δήμου..."
"Select a billing address from your address book or enter a new address.","Επιλέξτε μία διεύθυνση χρέωσης από το βιβλίο διευθύνσεων σας ή εισάγετε μία νέα διεύθυνση."
"Select a shipping address from your address book or enter a new address.","Επιλέξτε μία διεύθυνση αποστολής από το βιβλίο διευθύνσεων σας ή εισάγετε μία νέα διεύθυνση."
"Send Payment Failed Email Copy Method","Μέθοδος Αποστολής Email Αντιγράφου Αποτυχίας Πληρωμής"
"Send Payment Failed Email Copy To","Αποστολή Email Αντιγράφου Αποτυχίας Πληρωμής Στο/η"
"Send To","Αποστολή στο/η"
"Separate by "","".","Διαχωρισμός από "","". "
"Set customer for shopping cart","Ρύθμιση πελάτη για το καλάθι αγορών"
"Set customer's addresses in shopping cart","Ρύθμιση των διευθύνσεων του πελάτη στο καλάθι αγορών"
"Set payment method","Ρύθμιση μεθόδου πληρωμής"
"Set shipping method","Ρύθμιση μεθόδου αποστολής"
"Ship to Multiple Addresses","Αποστολή σε πολλαπλές διευθύνσεις"
"Ship to different address","Αποστολή σε διαφορετική διεύθυνση"
"Ship to this address","Αποστολή σε αυτήν τη διεύθυνση"
"Shipping Address","Διεύθυνση Αποστολής Παραγγελίας"
"Shipping Information","Πληροφορίες Αποστολής"
"Shipping Method","Μέθοδος Αποστολής"
"Shipping Methods","Μεθόδοι Αποστολής"
"Shipping To","Αποστολή Σε"
"Shipping information","Πληροφορίες αποστολής"
"Shipping method has not been selected yet","Ακόμα δεν έχει επιλεγεί μέθοδος αποστολής"
"Shipping methods in shopping cart","Μέθοδοι Αποστολής στο καλάθι αγορών"
"Shipping selection is not applicable."," Η επιλογή της αποστολής δεν είναι εφαρμόσιμη."
"Shopping Cart","Καλάθι Αγορών"
"Shopping Cart Form Before","Φόρμα Καλαθιού Αγορών Πριν"
"Shopping Cart Sidebar","Διπλανή στήλη Καλαθιού Αγορών"
"Shopping Cart Sidebar Extra Actions","Επιπλέον ενέργειες διπλανής στήλης Καλαθιού Αγορών"
"Shopping Cart is Empty","Το Καλάθι σας είναι Άδειο"
"Shopping Cart Items After","Είδη Καλαθιού Αγορών Μετά"
"Shopping Cart Items Before","Είδη Καλαθιού Αγορών Πριν"
"Shopping cart ability to set coupon code","Δυνατότητα Καλαθιού Αγορών να θέσει κωδικό κουπονιού"
"Show Content as","Εμφάνιση Περιεχόμενου ως"
"SKU","SKU"
"Some of the requested products are not available in the desired quantity.","Κάποια από τα ζητούμενα προϊόντα δεν είναι διαθέσιμα στην επιθυμητή ποσότητα."
"Some of the requested products are unavailable.","Κάποια από τα ζητούμενα προϊόντα δεν είναι διαθέσιμα."
"Some products quantities were recalculated because of quantity increment mismatch","Κάποιες ποσότητες προϊόντων υπολογίζονται εκ νέου, λόγω του ότι, η αύξηση της ποσότητας δεν ταιριάζει"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Ζητούμε συγγνώμη, η ολοκλήρωση των αγορών ως επισκέπτης, δεν είναι ενεργοποιημένη. Παρακαλούμε ξαναδοκιμάστε ή επικοινωνήστε μαζί μας."
"Sorry, no quotes are available for this order at this time.","Συγνώμη, δεν υπάρχουν παραθέσεις για αυτή τη παραγγελία αυτή τη στιγμή."
"State/Province","Νομός/Δήμος"
"Status","Κατάσταση"
"Store View","Όψη Καταστήματος"
"Street Address","Διεύθυνση"
"Street Address %s","Διεύθυνση %s"
"Submitting order information...","Υποβολή στοιχείων παραγγελίας..."
"Subtotal","Μερικό Σύνολο"
"Subtotal must exceed minimum order amount","Το μερικό σύνολο πρέπει να υπερβαίνει το ελάχιστο ποσό παραγγελίας"
"Telephone","Τηλέφωνο"
"Terms and Conditions","Όροι και Προϋποθέσεις"
"Terms and Conditions Information","Πληροφορίες Όρων και Προϋποθέσεων"
"Terms and conditions","Όροι και Προϋποθέσεις"
"Text","Κείμενο"
"Thank you for your purchase!","Ευχαριστούμε για την παραγγελία σας!"
"The condition has been deleted","Η συνθήκη έχει διαγραφεί"
"The condition has been saved.","Η συνθήκη έχει αποθηκευτεί."
"The onepage checkout is disabled.","Η μονοσέλιδη ολοκλήρωση παραγγελίας έχει απενεργοποιηθεί."
"The product could not be found.","Το προϊόν δεν ήταν δυνατό να βρεθεί."
"The product does not exist.","Το προϊόν δεν υπάρχει"
"There are <a href=""%s"">%s items</a> in your cart.","Υπάρχουν <a href=""%s"">%s είδη</a> στο καλάθι σας."
"There is <a href=""%s"">1 item</a> in your cart.","Υπάρχει <a href=""%s"">1 είδος</a> στο καλάθι σας."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Υπάρχει ήδη ένας πελάτης εγγεγραμμένος χρησιμοποιώντας αυτή τη διεύθυνση email. Παρακαλούμε συνδεθείτε χρησιμοποιώντας αυτή τη διεύθυνση e-mail ή να εισάγετε μια διαφορετική διεύθυνση email για να καταχωρήσετε το λογαριασμό σας."
"There was an error processing your order. Please contact us or try again later.","Υπήρξε ένα σφάλμα κατα την επεξεργασία της παραγγελίας σας. Παρακαλούμε επικοινωνήστε μαζί μας ή δοκιμάστε ξανά αργότερα."
"This condition no longer exists.","Αυτή η συνθήκη δεν υπάρχει πλέον."
"Total","Σύνολο"
"Total for this address","Σύνολο για αυτήν τη διεύθυνση"
"Unable to set Payment Method.","Αδύνατη η ρύθμιση Μεθόδου Πληρωμής."
"Unit Price","Τιμή Μονάδος"
"Update","Ενημέρωση"
"Update Cart","Ενημέρωση Καλαθιού"
"Update Qty &amp; Addresses","Ενημέρωση ποσοτήτων &amp; Διευθύνσεων"
"Update Shopping Cart","Ενημέρωση Καλαθιού Αγορών"
"Update Total","Ενημέρωση Συνόλου"
"Update product quantities in shopping cart","Ενημέρωση ποσοτήτων προϊόντος στο καλάθι αγορών"
"Update product(s) quantities in shopping cart","Ενημέρωση ποσοτήτων προϊόντος(ων) στο καλάθι αγορών"
"Use Billing Address","Χρήση της διεύθυνσης χρέωσης"
"VAT Number","Αριθμός Φορολογικού Μητρώου - Α.Φ.Μ."
"View Shopping Cart","Εμφάνιση Καλαθιού"
"Visible items in minicart","Ορατά είδη στο μίνι-καλάθι"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Επεξεργαζόμαστε την παραγγελία σας και σύντομα θα λάβετε ένα email με τις λεπτομέρειες της αγοράς σας. Μόλις η παραγγελία σας αποσταλεί θα λάβετε ένα νέο email με έναν σύνδεσμο για να παρακολουθείτε την πρόοδό της."
"What&#39;s this?","Τι είναι αυτό;"
"What's this?","Τι είναι αυτό;"
"You have no items in your shopping cart.","Δεν υπάρχουν προϊόντα στο Καλάθι Αγορών σας!"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Θα λάβετε ένα email για επιβεβαίωση της παραγγελίας σας με λεπτομέρειες τής και με έναν σύνδεσμο για να παρακολουθείτε τη πρόοδό της."
"Your Checkout Progress","Η Εξελιξη της Αγοράς σας"
"Your billing agreement # is: %s.","Η συμφωνία χρέωσής σας # είναι: %s."
"Your order # is: %s.","Η παραγγελία σας # είναι: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Η παραγγελία σας δεν μπορεί να ολοκληρωθεί αυτή τη στιγμή, καθώς δεν υπάρχουν μέθοδοι πληρωμής διαθέσιμες γι 'αυτό."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Η παραγγελία σας δεν μπορεί να ολοκληρωθεί αυτή τη στιγμή, καθώς δεν υπάρχουν μέθοδοι αποστολής διαθέσιμες γι 'αυτό. Παρακαλούμε να κάνετε τις απαραίτητες αλλαγές στην διεύθυνση αποστολής σας."
"Your order has been received.","Η παραγγελία σας έχει παραληφθεί."
"Your order number is ","Ο αριθμός παραγγελίας σας είναι"
"Your recurring payment profiles:","Τα επαναλαμβανόμενα προφίλ πληρωμών:"
"Zip/Postal Code","Τ. Κ."
