"-OR-","-Ή-"
"ACH Deposit (Reversal)","ΑΓΣ  Προκαταβολή (Αντιλογισμός) - Αυτοματοποιημένο Γραφείο Συμψηφισμού "
"ACH Funding for Funds Recovery from Account Balance","ΑΓΣ Χρηματοδότηση για Ανάκτηση Κεφαλαίων από Υπόλοιπο Λογαριασμού."
"ACH Withdrawal","ΑΓΣ Ανάληψη- από το Αυτοματοποιημένο Γραφείο Συμψηφισμού"
"API Authentication Methods","API Μέθοδοι Πιστοποίησης"
"API Certificate","API Πιστοποιητικό"
"API Password","API Κωδικός"
"API Signature","API Υπογραφή"
"API Username","API Όνομα Χρήστη"
"API Uses Proxy","API Χρήσεις Πληρεξούσιου"
"Ability for buyer to purchase without PayPal account.","Δυνατότητα για τον αγοραστή να αγοράζει χωρίς λογαριασμό PayPal."
"Accept credit card and PayPal payments securely.","Αποδοχή με ασφάλεια, πληρωμών με πιστωτική κάρτα και PayPal."
"Accept credit cards, debit cards and PayPal payments securely.","Αποδοχή με ασφάλεια, πληρωμών με πιστωτική και χρεωστική κάρτα και PayPal."
"Accept payments in your shopping cart. PayPal will process your card payments through the Payflow Gateway.","Αποδοχή πληρωμών στο καλάθι αγορών σας. Το PayPal θα επεξεργαστεί τις πληρωμές με την κάρτα σας μέσω της Πύλης Payflow "
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Αποδοχή πληρωμών με PCI compliant checkout που κρατά τους πελάτες στον ιστότοπό σας."
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Αποδοχή πληρωμών με PCI-compliant checkout που κρατά τους πελάτες στον ιστότοπό σας."
"Accept payments with a completely customizable checkout page.","Αποδοχή πληρωμών με μία πλήρης προσαρμοζόμενη σελίδα ολοκλήρωσης αγορών."
"Accept payments with a completely customizable checkout.","Αποδοχή πληρωμών με μία πλήρης προσαρμοζόμενη ολοκλήρωση αγορών."
"Acceptance Mark","Ένδειξη Αποδοχής"
"Acceptance Mark Image","Εικόνα Ένδειξης Αποδοχής"
"Account-to-Account Payment, initiated by PayPal","Πληρωμή Λογαριασμό-προς-Λογαριασμό, εισηγμένος από τη PayPal"
"Add PayPal as an additional payment method to your checkout page to increase your sales.","Προσθήκη του PayPal ως πρόσθετη μέθοδος πληρωμής, στη σελίδα σας ολοκλήρωσης αγορών, για την αύξηση των πωλήσεών σας."
"Add PayPal as an additional payment method to your checkout page.","Προσθήκη του PayPal ως πρόσθετη μέθοδος πληρωμής, στη σελίδα σας ολοκλήρωσης αγορών."
"Add another payment method to your existing solution or as a stand-alone option.","Προσθήκη άλλης μεθόδου πληρωμής στην ήδη υπάρχουσα επιλογή, ή ως αυτόνομη επιλογή."
"Additional Options","Επιπρόσθετες Επιλογές"
"Address","Διεύθυνση"
"Address Verification System Response","Απόκριση Συστήματος Επαλήθευσης Διεύθυνσης"
"Advanced Settings","Προχωρημένες Ρυθμίσεις"
"Advertise Bill Me Later","Διαφημίστε την υπηρεσία Bill Me Later"
"All the address information matched","Όλες οι πληροφορίες διεύθυνσης ταίριαξαν"
"Allow in Billing Agreement Wizard","Επιτρέπεται στον Οδηγό Συμφωνίας Χρέωσης"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Επιτρεπόμενες τιμές: ""paypal"", ""βασικός"" (προκαθορισμένο), your_custom_value (ένα προκαθορισμένο στυλ σελίδας πληρωμής από το εμπορικό σας προφίλ)."
"Allowed Credit Card Types","Επιτρεπόμενοι Τύποι Πιστωτικής Κάρτας"
"Also affects mini-shopping cart.","Επίσης επηρεάζει το μίνι-καλάθι αγορών."
"Ask Customer","Ρωτήστε το Πελάτη"
"Attempted Authentication, Bad Result","Προσπάθεια Πιστοποίησης, Άσχημο Αποτέλεσμα"
"Attempted Authentication, Good Result","Προσπάθεια Πιστοποίησης, Καλό Αποτέλεσμα"
"Auction Payment other than through eBay","Δημοπρασία Πληρωμής, άλλης, εκτός αυτής μέσω eBay"
"Authenticated, Bad Result","Πιστοποιημένο, Άσχημο Αποτέλεσμα"
"Authenticated, Good Result","Πιστοποιημένο, Καλό Αποτέλεσμα"
"Authorization","Έγκριση"
"Authorization Honor Period (days)","Εξουσιοδότηση Περιόδου Τιμής (ημέρες)"
"Authorization expired.","Η Έγκριση έληξε."
"Authorization transaction is required to void.","Έγκριση συναλλαγής απαιτείται για ακύρωση."
"Authorization was voided by merchant.","Η Έγκριση ακυρώθηκε από τον έμπορο."
"Authorized amount of %s.","Εγκεκριμένο ποσό των %s."
"Authorizing amount of %s is pending approval on gateway.","Το εγκεκριμένο ποσό των %s εκκρεμεί για έγκριση στη πύλη πληρωμής."
"Auto","Αυτόματο -η"
"AutoSweep","Αυτόματη Σάρωση"
"Available Balance","Διαθέσιμο Υπόλοιπο"
"Balance Manager Account Bonus","Υπόλοιπα Μπόνους Λογαριασμού Διαχείρισης"
"Basic Settings - PayPal Express Checkout","Βασικές Ρυθμίσεις - Γρήγορη Ολοκλήρωση Αγορών PayPal "
"Basic Settings - PayPal Integral Evolution","Βασικές Ρυθμίσεις - Αναπόσπαστη Εξέλιξη PayPal "
"Basic Settings - PayPal Pasarela integral","Βασικές Ρυθμίσεις - Αναπόσπαστη Διάβαση PayPal "
"Basic Settings - PayPal Payflow Link","Βασικές Ρυθμίσεις - Σύνδεσμος Ροής Πληρωμής Payflow PayPal "
"Basic Settings - PayPal Payflow Pro","Βασικές Ρυθμίσεις - Σύνδεσμος Ροής Πληρωμής Payflow PRO PayPal "
"Basic Settings - PayPal Payments Advanced","Βασικές Ρυθμίσεις - Προχωρημένες Πληρωμές PayPal "
"Basic Settings - PayPal Payments Pro","Βασικές Ρυθμίσεις - Επαγγ. Πληρωμές PayPal "
"Basic Settings - PayPal Payments Pro Hosted Solution","Βασικές Ρυθμίσεις - Hosted Solution Επαγγ. Πληρωμών PayPal "
"Basic Settings - PayPal Payments Standard","Βασικές Ρυθμίσεις - Συνήθης Πληρωμές PayPal "
"Basic Settings - PayPal Pro","Βασικές Ρυθμίσεις - Επαγγ. PayPal "
"Basic Settings - PayPal Website Payments Plus","Βασικές Ρυθμίσεις - Πρόσθετες Πληρωμές Ιστότοπου PayPal "
"Basic Settings - PayPal Website Payments Pro","Βασικές Ρυθμίσεις - Επαγγ. Πληρωμές Ιστότοπου PayPal "
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Βασικές Ρυθμίσεις - Hosted Solution Επαγγ. Πληρωμών Ιστότοπου PayPal"
"Basic Settings - PayPal Website Payments Pro Payflow Edition","Βασικές Ρυθμίσεις - Έκδοση Ροής Πληρωμής Επαγγ. Πληρωμών Ιστότοπου PayPal"
"Basic Settings - PayPal Website Payments Standard","Βασικές Ρυθμίσεις - Συνήθης Πληρωμές Ιστότοπου PayPal"
"Billing Address","Διεύθυνση Χρέωσης"
"Billing Agreement Signup","Εγγραφή στη Συμφωνία Χρέωσης"
"Billing Information","Στοιχεία Χρέωσης"
"Bonus for first ACH Use","Μπόνους για την πρώτη χρήση του ΑΓΣ - Αυτοματοποιημένου Γραφείου Συμψηφισμού"
"Both section above must be complete. ","Και τα δύο τμήματα παραπάνω πρέπει να είναι συμπληρωμένα."
"Buyer Credit Payment","Πίστωση Πληρωμής Αγοραστή"
"Buyer claims that a possible duplicate payment was made to the merchant.","Ο αγοραστής ισχυρίζεται ότι μία ενδεχόμενη διπλή πληρωμή έγινε με τον έμπορο."
"Buyer claims that he did not receive goods or service.","Ο αγοραστής ισχυρίζεται ότι δεν έλαβε προϊόντα ή υπηρεσίες."
"Buyer claims that he/she did not authorize transaction.","Ο αγοραστής ισχυρίζεται ότι αυτός / αυτή δεν ενέκρινε τη συναλλαγή."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Ο αγοραστής ισχυρίζεται ότι τα προϊόντα ή οι υπηρεσίες που έλαβε, διαφέρουν από την περιγραφή του εμπόρου στα προϊόντα ή τις υπηρεσίες."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Ο αγοραστής ισχυρίζεται ότι το παραλαμβανόμενο εμπόρευμα είναι μη ικανοποιητικό, ελαττωματικό, ή κατεστραμμένο."
"Buyer\'s Tax ID","ΑΦΜ Πελάτη"
"Buyer\'s Tax ID Type","Τύπος ΑΦΜ Πελάτη"
"By default it is ""reports.paypal.com"".","Από προεπιλογή είναι ""reports.paypal.com""."
"CNPJ","CNPJ - Cadastro Nacional da Pessoa Jurídica - Εθνικό Μητρώο Νομικών Προσώπων"
"CPF","CPF - Central Provident Fund - Κεντρικό Ταμείο Πρόνοιας "
"CVV Entry is Editable","Η Εισαγωγή CVV είναι Επεξεργάσιμη "
"CVV2 Check Result by PayPal","Έλεγχος Αποτελέσματος CVV2 από PayPal"
"Can not send new order email.","Δεν μπορεί να σταλεί νέο email παραγγελίας."
"Catalog Category Page","Σελίδα Κατηγορίας Καταλόγου"
"Catalog Product Page","Σελίδα Προϊόντος Καταλόγου"
"Cannot create target file for reading reports.","Δεν είναι δυνατή η δημιουργία αρχείου-στόχου για ανάγνωση αναφορών. "
"Centinel API URL","Centinel API URL"
"Centinel Custom API URL","Centinel Custom API URL"
"Charge-off","Διαγραφή Χρέωσης"
"Checkout Cart Page","Σελίδα Ολοκλήρωσης Αγορών Καλαθιού"
"Chargeback","Επιστροφή Χρέωσης"
"Checkout with PayPal","Ολοκλήρωση Αγορών μέσω PayPal"
"Checkout with PayPal Bill Me Later","Ολοκλήρωση Αγορών με την υπηρεσία Bill Me Later του PayPal "
"Choose a secure bundled payment solution for your business.","Επιλογή ασφαλούς λύσης συνδυαστικής πληρωμής για την επιχείρησή σας. "
"City","Πόλη"
"Click here if you are not redirected within 10 seconds...","Πατήστε εδώ, αν δεν έχετε κατευθυνθεί μέσα σε 10 δευτερόλεπτα..."
"Close","Κλείσιμο"
"Company","Εταιρεία"
"Complaint","Παράπονο"
"Completion Date","Ημερ/νία Ολοκλήρωσης"
"Configure","Διαμορφώστε"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Σύνδεση με τον εμπορικό σας λογαριασμό μέσω της πύλης PCI-compliant που αφήνει τους πελάτες να πληρώσουν χωρίς να αφήνουν τον ιστότοπό σας."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Σύνδεση με τον εμπορικό σας λογαριασμό μέσω πλήρους προσαρμοζόμενης πύλης που αφήνει τους πελάτες να πληρώσουν χωρίς να αφήσουν τον ιστότοπό σας."
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Γίνεται σύνδεση στον SFTP εξυπηρετητή PayPal για να φέρετε νέες αναφορές. Είστε σίγουροι ότι θέλετε να προχωρήσετε;"
"Continue","Συνέχεια"
"Countries Payment Applicable From","Οι Χώρες Πληρωμής Ισχύουν Από"
"Country","Χώρα"
"Coupon Redemption","Ρευστοποίηση Κουπονιού"
"Credit","Πίστωση"
"Credit Card Settings","Ρυθμίσεις Πιστωτικής Κάρτας"
"Currency Conversion required to cover negative balance","Απαιτείται μετατροπή νομίσματος για να καλύψει το αρνητικό υπόλοιπο"
"Custom","Προσαρμογή"
"Custom Endpoint Hostname or IP-Address","Προσαρμοζόμενο Τελείωμα Hostname ή Διεύθυνση-IP"
"Custom Path","Προσαρμοσμένη Διαδρομή"
"Customer Information","Πληροφορίες Πελάτη"
"Customer did not include a confirmed address.","Ο Πελάτης δεν συμπεριέλαβε επαληθευμένη διεύθυνση."
"Customer failed to pay.","Ο Πελάτης απέτυχε να πληρώσει."
"Customer used non-confirmed address.","Ο Πελάτης χρησιμοποίησε μη-επαληθευμένη διεύθυνση."
"Daily","Ημερήσια"
"Debit","Χρέωση"
"Debit Card Cash Back","Επιστροφή Μετρητών Χρεωστικής Κάρτας"
"Debit Card Transaction","Συναλλαγή Χρεωστικής Κάρτας"
"Debit or Credit","Χρέωση ή Πίστωση"
"Debug Mode","Λειτουργία Αποσφαλμάτωσης"
"Direct Payment API","Άμεση Πληρωμή API"
"Discount","Έκπτωση"
"Display","Εμφάνιση "
"Display Express Checkout in the Payment Information step","Εμφάνιση Εξπρές Ολοκλήρωσης Αγορών στο Στάδιο Πληροφοριών Πληρωμής "
"Displays on catalog pages and homepage.","Εμφανίζεται στις σελίδες καταλόγου και στην αρχική σελίδα. "
"Dispute","Αμφισβήτηση"
"Don't have a PayPal account? Simply enter your email address.","Δεν έχετε λογαριασμό PayPal; Απλά εισάγετε την διεύθυνση του email σας."
"Dynamic","Δυναμικό"
"EFT Funding (German banking)","EFT Χρηματοδοτική (Γερμανική Τραπεζική)"
"Edit Shopping Cart","Επεξεργασία Καλαθιού Αγορών"
"Email Address","Διεύθυνση Email"
"Email Associated with PayPal Merchant Account","Το Email Συσχετίζεται με τον Λογαριασμό PayPal του Εμπόρου"
"Email Associated with PayPal Merchant Account (Optional)","Το Email Συσχετίζεται με τον Λογαριασμό PayPal του Εμπόρου (Προαιρετικό)"
"Enable Automatic Fetching","Ενεργοποίηση Αυτόματης Ελκυστικότητας"
"Enable Bill Me Later","Ενεργοποίηση υπηρεσίας Bill Me Later"
"Enable Express Checkout","Ενεργοποίηση Εξπρές Ολοκλήρωσης Αγορών"
"Enable PayPal Guest Checkout","Ενεργοποίηση Ολοκλήρωσης Αγορών με PayPal για τον Επισκέπτη"
"Enable Payflow Link","Ενεργοποίηση Σύνδεσμου Ροής Πληρωμής Payflow"
"Enable SSL verification","Ενεργοποίηση SSL επαλήθευσης "
"Enable this Solution","Ενεργοποίηση αυτής της Επιλογής-Λύσης"
"Enabled","Ενεργοποιημένο"
"Event","Εκδήλωση"
"Event Code","Κωδικός Εκδήλωσης"
"Every 10 days","Κάθε 10 ημέρες"
"Every 14 days","Κάθε 14 ημέρες"
"Every 3 days","Κάθε 3 ημέρες"
"Every 30 days","Κάθε 30 ημέρες"
"Every 40 days","Κάθε 40 ημέρες"
"Every 7 days","Κάθε 7 ημέρες"
"Exact Match. Address and Postal Code. International","Ακριβής Αντιστοίχηση. Διεύθυνση και Ταχ. Κωδικός. Διεθνή"
"Exact Match. Address and Postal Code. UK-specific","Ακριβής Αντιστοίχηση. Διεύθυνση και Ταχ. Κωδικός. Ειδικά στο Ην. Βασίλειο "
"Exact Match. Address and nine-digit ZIP code","Ακριβής Αντιστοίχηση. Διεύθυνση και 9 ψήφιος Ταχ. Κωδικός"
"Explanation: %s.","Επεξήγηση: %s."
"Express Checkout","Εξπρές Ολοκλήρωση Αγορών"
"Express Checkout APIs","Εξπρές Ολοκλήρωση Αγορών APIs"
"Express Checkout and Order have been canceled.","Η Εξπρές Ολοκλήρωση Αγορών και η Παραγγελία, έχουν ακυρωθεί."
"Express Checkout has been canceled.","Η Εξπρές Ολοκλήρωση Αγορών έχει ακυρωθεί."
"Failed to fetch reports from '%s@%s'.","Αποτυχία να φέρνει αναφορές από '%s@%s'."
"Fax","Φαξ"
"Fee Amount","Ποσό Αμοιβής"
"Fee Debit or Credit","Πιστωτική ή Χρεωστική Αμοιβή"
"Fee Reversal","Αμοιβή Αντιλογισμού"
"Fee: Foreign ACH Withdrawal","Αμοιβή: Ανάληψη από το ΑΓΣ σε Ξένο Νόμισμα"
"Fee: Mass Pay Request","Αμοιβή: Αίτηση Μαζικής Πληρωμής"
"Fee: Web Site Payments Pro Account Monthly","Αμοιβή: Μηνιαίος Λογαριασμός Επαγγ. Πληρωμών Ιστότοπου"
"Fee: WorldLink Check Withdrawal","Αμοιβή: Διεθνοποιημένη Επιταγή Ανάληψης"
"Fetch","Φέρνω"
"Fetch Updates","Φέρνω Ενημερώσεις"
"Fetched %s report rows from '%s@%s'.","Φερόμενες %s γραμμές ενημέρωσης από '%s@%s'."
"For Virtual Quotes Only","Μόνο Για Εικονικές Προσφορές "
"Frontend Experience Settings","Ρυθμίσεις Εμπειρίας Προσκήνιου "
"Funding","Χρηματοδότηση"
"General (Authorization)","Γενικά (Έγκριση)"
"General (Dividend)","Γενικά (Μέρισμα)"
"General (Funds Transfer from PayPal Account to Another)","Γενικά (Μεταφορά Κεφαλαίων από Λογαριασμό PayPal σε Άλλον)"
"General (Purchase with a credit card)","Γενικά (Αγορά με πιστωτική κάρτα)"
"General Adjustment without businessrelated event","Γενική ρύθμιση εκδήλωσης χωρίς επαγγελματική συσχέτηση"
"General Currency Conversion","Γενική Μετατροπή Συναλλάγματος"
"General Funding of PayPal Account ","Γενική Χρηματοδότηση του Λογαριασμού PayPal"
"General Redemption","Γενική Ρευστοποίηση"
"General Withdrawal from PayPal Account","Γενική Ανάληψη από Λογαριασμό PayPal"
"General. Product no longer supported","Γενικά. Το Προϊόν δεν υποστηρίζεται πλέον"
"General: Use of PayPal account for purchasing as well as receiving payments","Γενικά: Χρήση του λογαριασμού PayPal για αγορά, καθώς και την είσπραξη πληρωμών"
"General: Withdrawal from PayPal Account","Γενικά: Ανάληψη από Λογαριασμό PayPal"
"General: Withdrawal to Non-Bank Entity","Γενικά: Ανάληψη σε Μη-Τραπεζικό Φορέα"
"General: adjustment of a type not belonging to the other T12xx categories","Γενικά: προσαρμογή ενός τύπου που δεν ανήκει στις άλλες T12xx κατηγορίες "
"General: bonus of a type not belonging to the other T08xx categories","Γενικά: το μπόνους ενός τύπου που δεν ανήκει στις άλλες T08xx κατηγορίες"
"General: event not yet categorized","Γενικά: μη κατηγοριοποιημένη ακόμα εκδήλωση"
"General: non-payment fee of a type not belonging to the other T01xx categories","Γενικά: μη-πληρωμένη αμοιβή ενός τύπου που δεν ανήκει στις άλλες T01xx κατηγορίες "
"General: received payment of a type not belonging to the other T00xx categories","Γενικά: λαμβανόμενη πληρωμή ενός τύπου που δεν ανήκει στις άλλες T00xx κατηγορίες"
"General: reversal of a type not belonging to the other T11xx categories","Γενικά: αντιλογισμός ενός τύπου που δεν ανήκει στις άλλες T11xx κατηγορίες"
"General: temporary hold of a type not belonging to the other T15xx categories","Γενικά: προσωρινή κράτηση ενός τύπου που δεν ανήκει στις άλλες T15xx κατηγορίες"
"Get Credentials from PayPal","Λήψη Πιστοποιητικών από PayPal"
"Get Publisher ID from PayPal","Λήψη ID Εκδότη από PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Δωροεπιταγές Πληρωμής: αγορά Δωροεπιταγής"
"Gift Certificate Redemption","Ρευστοποίηση Δωροεπιταγής"
"Gross Amount","Μεικτό Ποσό"
"Header (center)","Κεφαλίδα (κέντρο)"
"Header Background Color","Χρώμα Φόντου Κεφαλίδας"
"Header Border Color","Χρώμα Μπορντούρας Κεφαλίδας"
"Header Image URL","URL Εικόνας Κεφαλίδας"
"Help","Βοήθεια"
"Hidden Virtual PayPal Debit Card Transaction","Κρυφή Συναλλαγή Εικονικής Χρεωστικής Κάρτας PayPal "
"Hold for Dispute Investigation","Κράτηση για Διερεύνηση Διαφορών"
"Home Page","Αρχική Σελίδα"
"IPN ""%s"".","ΑΓΠ - Άμεση Γνωστοποίηση Πληρωμής ""%s"". "
"IPN ""%s"". %s Transaction amount %s. Transaction ID: ""%s""","ΑΓΠ - Άμεση Γνωστοποίηση Πληρωμής ""%s"". %s Ποσό Συναλλαγής %s. ID Συναλλαγής: ""%s"""
"IPN ""%s"". A dispute has been resolved and closed. %s Transaction amount %s.","ΑΓΠ - Άμεση Γνωστοποίηση Πληρωμής ""%s"". Μία Διαφορά έχει επιλυθεί και κλείσει. %s Ποσό Συναλλαγής %s."
"IPN ""%s"". Case type ""%s"". Case ID ""%s"" %s","ΑΓΠ - Άμεση Γνωστοποίηση Πληρωμής ""%s"". Τύπος Περίπτωσης ""%s"". ID Περίπτωσης ""%s"" %s"
