"# of Use","# χρήσης"
"%1$s incl tax.","%1$s συμπ.φόρου."
"%s - %s","%s - %s"
"%s Item(s)","%s Προϊόν(τα)"
"%s-%s of %s","%s-%s από %s"
"%s and above","%s και πάνω"
"All products - recently added products, New products - products marked as new","Όλα τα προϊόντα - πρόσφατα προστεθειμένα προϊόντα, Νέα προϊόντα - προϊόντα σημειωμένα ως νέα"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Όλα τα προϊόντα του συνόλου αυτού θα διαγραφούν! Είστε σίγουροι ότι θέλετε να διαγράψετε αυτό το σύνολο χαρακτηριστικών;"
"Allow All Products per Page","Επιτρέπονται Όλα τα Προϊόντα ανά Σελίδα"
"Allow Dynamic Media URLs in Products and Categories","Επιτρέπονται Δυναμικά URLs Πολυμέσων στα Προϊόντα και στις Κατηγορίες"
"Allow HTML Tags on Frontend","Επιτρέπονται Ετικέτες HTML στην περιοχή πελατών"
"Allowed File Extensions","Επιτρεπόμενες Επεκτάσεις Αρχείων"
"Allowed file extensions to upload","Επιτρεπόμενες επεκτάσεις αρχείων για ανέβασμα "
"Amount","Ποσό"
"An error occurred while adding products to websites.","Προέκυψε σφάλμα κατά την προσθήκη των προϊόντων στους ιστότοπους."
"An error occurred while clearing comparison list.","Προέκυψε σφάλμα κατά τον καθαρισμό της λίστας σύγκρισης."
"An error occurred while deleting this review.","Προέκυψε σφάλμα  κατά τη διαγραφή αυτής της αξιολόγησης. "
"An error occurred while removing products from websites.","Προέκυψε σφάλμα κατά τη διαγραφή προϊόντων από τους ιστότοπους."
"An error occurred while saving the URL rewrite","Προέκυψε σφάλμα κατά την αποθήκευση της αναδιατύπωσης URL"
"An error occurred while saving the attribute set.","Προέκυψε σφάλμα κατά την αποθήκευση του σύνολο χαρακτηριστικών."
"An error occurred while saving the collection, aborting. Error message: %s","Προέκυψε σφάλμα κατά την αποθήκευση της συλλογής, διακόπτεται η επεξεργασία. Μήνυμα σφάλματος: %s"
"An error occurred while saving the product. ","Προέκυψε σφάλμα κατά την αποθήκευση του προϊόντος."
"An error occurred while saving the search query.","Προέκυψε σφάλμα κατά την αποθήκευση των κριτηρίων αναζήτησης."
"An error occurred while saving this group.","Προέκυψε σφάλμα κατά την αποθήκευση αυτής της ομάδας."
"An error occurred while saving this review.","Προέκυψε σφάλμα κατά την αποθήκευση αυτής της αξιολόγησης."
"An error occurred while trying to delete the category.","Προέκυψε σφάλμα κατά την προσπάθεια διαγραφής της κατηγορίας."
"An error occurred while updating the product(s) attributes.","Προέκυψε σφάλμα κατά την ενημέρωση των χαρακτηριστικών του προϊόντος(ων)."
"An error occurred while updating the product(s) status.","Προέκυψε σφάλμα κατά την ενημέρωση της κατάστασης του προϊόντος(ων)."
"An invalid group ID is specified, skipping the record.","Το ID ομάδας δεν είναι έγκυρο, η εγγραφή θα αγνοηθεί."
"An invalid option ID is specified for %s (%s), skipping the record.","Ένα μη έγκυρο ID επιλογής προσδιορίστηκε για %s (%s), παρακάμπτεται η εγγραφή."
"An invalid store was specified.","Καθορίστηκε ένα μη έγκυρο κατάστημα."
"Anchor Custom Text","Αγκίστρωση Προσαρμοσμένου Κειμένου"
"Anchor Custom Title","Αγκίστρωση Προσαρμοσμένου Τίτλου"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Ισχύει μόνο για τα προϊόντα καταλόγου και τις κατηγορίες. Κάθε περιεχόμενο πολυμέσων θα εισάγεται στον κειμενογράφο σαν στατικό URL. Δεν θα ανανεώνεται αν αλλάξει το βασικό URL στις ρυθμίσεις του συστήματος."
"Apply MAP (Default Value)","Εφαρμογή ΕΔΤ (Προεπιλεγμένη Τιμή)"
"Apply To","Εφαρμογή Στο(α)"
"Approved","Εγκεκριμένο"
"Are you sure you want to delete this category?","Είστε βέβαιοι ότι θέλετε να διαγραφεί αυτή η κατηγορία;"
"Are you sure you would like to remove all products from your comparison?","Είστε βέβαιοι ότι θέλετε να αφαιρέσετε όλα τα προϊόντα από τη λίστα σύγκρισης;"
"Are you sure you would like to remove this item from the compare products?","Είστε βέβαιοι ότι θέλετε να αφαιρέσετε το είδος από τη σύγκριση προϊόντων;"
"Are you sure?","Είστε σίγουροι;"
"As low as:","Οι τιμές ξεκινούν από:"
"Assign","Εκχώρηση"
"Assign product link","Εκχώρηση συνδέσμου προϊόντος"
"Assign product to category","Εκχώρηση προϊόντος στη κατηγορία"
"Assigned Products","Εκχωρημένα Προϊόντα"
"Associated Products","Συσχετιζόμενα Προϊόντα"
"Attrib. Set Name","Όνομα Συνόλου Ιδιοτήτων"
"Attribute ""%s"" is invalid.","Το χαρακτηριστικό ""%s"" δεν είναι έγκυρο."
"Attribute ""%s"" is required.","Το χαρακτηριστικό ""%s"" είναι υποχρεωτικό."
"Attribute Information","Πληροφορίες Χαρακτηριστικού"
"Attribute Model","Μοντέλο Χαρακτηριστικού"
"Attribute Name:","Όνομα Χαρακτηριστικού:"
"Attribute Set","Σύνολο Χαρακτηριστικών"
"Attribute Sets","Σύνολα Χαρακτηριστικών"
"Attribute add","Προσθήκη Χαρακτηριστικού"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Ο κωδικός του χαρακτηριστικού δεν είναι έγκυρος. Παρακαλούμε χρησιμοποιήστε μόνο λατινικά γράμματα (a-z), αριθμούς (0-9) ή την κάτω παύλα (_) σε αυτό το πεδίο, ο πρώτος χαρακτήρας πρέπει να είναι γράμμα."
"Attribute group with the \/name/\"" name already exists""","Ομάδα χαρακτηριστικών με το όνομα \""/όνομα/\"" υπάρχει ήδη"
"Attribute group with the \/name/\ name already exists","Ομάδα χαρακτηριστικών με το το όνομα \/όνομα/\ υπάρχει ήδη"
"Attribute remove","Αφαίρεση χαρακτηριστικού "
"Attribute with the same code already exists","Ένα Χαρακτηριστικό με τον ίδιο κώδικα υπάρχει ήδη"
"Attributes","Χαρακτηριστικά"
"Attrribute names can be specified per store.","Τα ονόματα χαρακτηριστικών μπορούν να ορίζονται ανά κατάστημα."
"Autogenerate","Αυτοπαραγώμενο"
"Availability:","Διαθεσιμότητα:"
"Back","Πίσω"
"Backend Model","Μοντέλο Backend"
"Backend Table","Πίνακας Backend"
"Backend Table Title","Τίτλος Πίνακα Backend"
"Backorders","Καθυστέρημένες Παραγγελίες"
"Based On","Βασισμένο σε"
"Before Order Confirmation","Πριν την Επιβεβαίωση Παραγγελίας"
"Best Value","Καλύτερη Αξία"
"Block after Info Column","Πλαίσιο μετά την Στήλη Πλροφοριών"
"Bottom Block Options Wrapper","Περιέκτης Επιλογών Κάτω Πλαισίου"
"Bottom/Left","Κάτω/Αριστερά"
"Bottom/Right","Κάτω/Δεξιά"
"Browse By","Εμφάνιση ανά"
"Bundle Items","Συνδυαζόμενα Είδη"
"Buy %1$s","Αγορά %1$s"
"Buy %1$s for","Αγορά %1$s για"
"Buy %1$s for %2$s","Αγορά %1$s για %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Αγορά %1$s για %2$s (%3$s συμπ. φόρου) έκαστο"
"Buy %1$s for %2$s each","Αγορά %1$s για %2$s έκαστο"
"Cache Lifetime (Seconds)","Διάρκεια μνήμης Cache (Δευτερόλεπτα)"
"Cache refresh needed.","Χρειάζεται ανανέωση μνήμης Cache"
"Can be Divided into Multiple Boxes for Shipping","Μπορεί να διαχωριστεί σε Πολλαπλά Κιβώτια για Αποστολή"
"Can be used only with catalog input type Dropdown","Μπορεί να χρησιμοποιηθεί μόνο με τύπο εισαγωγής καταλόγου Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Μπορεί να χρησιμοποιηθεί μόνο με τύπο εισαγωγής καταλόγου Dropdown, Πολλαπλή Επιλογή και Τιμή"
"Can\'t create image.","Δεν μπορεί να δημιουργηθεί εικόνα."
"Cancel","Ακύρωση"
"Cannot create image.","Δεν μπορεί να δημιουργηθεί εικόνα."
"Cannot create writeable directory '%s'.","Δεν μπορεί να δημιουργηθεί εγγράψιμος φάκελος '%s'."
"Cart Item Attribute","Χαρακτηριστικό Είδους Καλαθιού Αγοράς"
"Catalog","Κατάλογος"
"Catalog Category (Anchor)","Κατηγορία Καταλόγου (Αγκίστρωση)"
"Catalog Category (Non-Anchor)","Κατηγορία Καταλόγου (Απαγκίστρωση)"
"Catalog Category (Without Subcategories)","Κατηγορία Κατάλογου (Χωρίς Υποκατηγορίες)"
"Catalog Category Link","Σύνδεσμος Κατηγορίας Καταλόγου"
"Catalog New Products List","Λίστα Νέων Προϊόντων Καταλόγου"
"Catalog Price Scope","Εμβέλεια Τιμών Καταλόγων"
"Catalog Product Compare List","Λίστα Σύγκρισης Προϊόντων Καταλόγου"
"Catalog Product Email to a Friend","Αποστολή με email Προϊόντος Καταλόγου σε ένα Φίλο"
"Catalog Product Image Gallery Popup","Αναδυόμενο Παράθυρο Συλλογής Εικόνων Προϊόντος Καταλόγου"
"Catalog Product Link","Σύνδεσμος Προϊόντος Καταλόγου"
"Catalog Product View (Any)","Όψη Προϊόντων Καταλόγου (Οποιαδήποτε)"
"Catalog Product View (Configurable)","Όψη Προϊόντων Καταλόγου (Διαμορφώσιμα)"
"Catalog Product View (Grouped)","Όψη Προϊόντων Καταλόγου (Ομαδοποιημένα)"
"Catalog Product View (Simple)","Όψη Προϊόντων Καταλόγου (Απλά)"
"Catalog Product View (Virtual)","Όψη Προϊόντων Καταλόγου (Εικονικά)"
"Catalog Section","Τμήμα Καταλόγου"
"Catalog Seo Sitemap (Category List)","Χάρτης Ιστότοπου SEO Καταλόγου (Λίστα Κατηγοριών)"
"Catalog Seo Sitemap (Category Tree)","Χάρτης Ιστότοπου SEO Καταλόγου (Ιεραρχία Κατηγοριών)"
"Catalog Seo Sitemap (Common)","Χάρτης Ιστότοπου SEO Καταλόγου  (Κοινός)"
"Catalog Seo Sitemap (Product List)","Χάρτης Ιστότοπου SEO Καταλόγου (Λίστα Προϊόντων)"
"Catalog URL Rewrites","Αναδιατυπώσεις URL Καταλόγου"
"Catalog product custom option values API","API τιμών προσαρμοσμένων επιλογών προϊόντων καταλόγου"
"Catalog product custom options API","API προσαρμοσμένων επιλογών προϊόντων καταλόγου"
"Catalog, Search","Κατάλογος, Αναζήτηση"
"Categories","Κατηγορίες"
"Categories Sitemap","Χάρτης ιστοχώρου Κατηγοριών"
"Category","Κατηγορια"
"Category API","API Κατηγοριών"
"Category Data","Δεδομένα Κατηγορίας"
"Category Flat Data","Επίπεδα Δεδομένα Κατηγοριών"
"Category Link Block Template","Πρότυπο Συνδέσμου Κατηγορίας σε Πλαίσιο"
"Category Link Inline Template","Πρότυπο Συνδέσμου Κατηγορίας σε Σειρά"
"Category Products","Προϊόντα Κατηγορίας"
"Category Top Navigation","Πάνω Πλοήγηση Κατηγοριών"
"Category URL Suffix","Επίθεμα URL Κατηγορίας"
"Category attributes API","API Χαρακτηριστικών Κατηγορίας"
"Category move error","Σφάλμα Μετακίνησης Κατηγορίας"
"Category move error %s","Σφάλμα Μετακίνησης Κατηγορίας %s"
"Category move operation is not possible: parent category is equal to child category.","Η μετακίνηση της κατηγορίας δεν είναι δυνατή: η μητρική κατηγορία  είναι ίδια με τη θυγατρική κατηγορία."
"Category move operation is not possible: the current category was not found.","Η μετακίνηση της κατηγορίας δεν είναι δυνατή: η τρέχουσα κατηγορία δεν βρέθηκε."
"Category move operation is not possible: the new parent category was not found.","Η μετακίνηση της κατηγορίας δεν είναι δυνατή: η νέα μητρική κατηγορία δεν βρέθηκε."
"Category must be an instance of Mage_Catalog_Model_Category.","Η κατηγορία πρέπει είναι ένα αντικείμενο τύπου Mage_Catalog_Model_Category."
"Center","Κέντρο"
"Change","Αλλαγή"
"Change or Retrieve attribute store view","Αλλαγή ή Ανάκληση όψης καταλόγου χαρακτηριστικών"
"Change status","Κατάσταση αλλαγής"
"Check items to add to the cart or","Επιλέξτε τα ειδη για προσθήκη στο καλάθι ή"
"Choose an Option...","Επιλέξτε..."
"Clear All","Καθαρισμός Όλων"
"Clear Price","Καθαρισμός Τιμής"
"Click for price","Πατήστε για τιμή"
"Close Window","Κλείσιμο Παραθύρου"
"Collapse All","Σύμπτυξη Όλων"
"Comma-separated.","Διαχωρισμένα με κόμμα"
"Comparable","Συγκρίσιμο"
"Comparable on Front-end","Συγκρίσιμο στο Front-end"
"Comparable on the Frontend","Συγκρίσιμο στην περιοχή πελατών"
"Compare","Σύγκριση"
"Compare Products","Συγκρινετε Προϊοντα"
"Conditions Combination","Συνδυασμός Συνθηκών"
"Configurable Product","Διαμορφώσιμο Προϊόν"
"Configurable Product Settings","Ρυθμίσεις Διαμορφώσιμων Προϊόντων"
"Configure Product","Διαμόρφωση Προϊόντος"
"Continue","Συνέχεια"
"Copy From Configurable","Αντιγραφή από το Διαμορφώσιμο"
"Country/State","Χώρα\Νομός"
"Create","Δημιουργία"
"Create (Upload)","Δημιουργία (Ανέβασμα)"
"Create Empty","Δημιουργία Κενού"
"Create Permanent Redirect for URLs if URL Key Changed","Δημιουργία Μόνιμης Επανακατεύθυνσης για URLs αν Το Κλειδί URL Αλλάζει"
"Create Permanent Redirect for old URL","Δημιουργία Μόνιμης Επανακατεύθυνσης για παλαιότερο URL"
"Create Product Settings","Ρυθμίσεις Δημιουργίας Προϊόντος"
"Create Simple Associated Product","Δημιουργία Απλού Σχετιζόμενου Προϊόντος"
"Create attribute set based on another set","Δημιουργία συνόλου χαρακτηριστικών βασιζόμενο σε άλλο σύνολο"
"Create new attribute","Δημιουργία νέου χαρακτηριστικού"
"Create new category","Δημιουργία νέας κατηγορίας"
"Create new product","Δημιουργία νέου προϊόντος"
"Cross-sells","Συσχετιζόμενες Πωλήσεις"
"Currently Shopping by:","Αυτή τη στιγμή Αγοράζετε ανά(από)"
"Custom Design","Προσαρμοσμένο Design"
"Custom Options","Προσαρμοσμένες Επιλογές"
"Custom options","Προσαρμοσμένες επιλογές"
"Customer Group","Ομάδα Πελατών"
"Customers Reviews","Αξιολογήσεις Πελατών"
"Customers Tagged Product","Προϊόντα σημειωμένα με ετικέτα από Πελάτη"
"Data Type for Saving in Database","Τύπος δεδομένων για αποθήκευση στην Βάση Δεδομένων"
"Date & Time Custom Options","Προσαρμοσμένες Επιλογές Ημ/νίας & Ώρας"
"Date Fields Order","Πεδία Ημ/νίας Παραγγελίας"
"Date Subscribed","Ημερομηνία Εγγραφής"
"Datetime","Διαμόρφωση Ημερομηνίας"
"Decimal","Δεκαδικό"
"Declare attribute value saving scope","Δηλώστε εμβέλεια αποθήκευσης τιμής χαρακτηριστικού"
"Default ""What's This"" Text Message","Προκαθορισμένο Μήνυμα Κειμένου ""Τι είναι Αυτό"""
"Default Popup Text Message","Προκαθορισμένο Αναδυόμενο Παράθυρο Μηνύματος Κειμένου"
"Default Price","Προκαθορισμένη Τιμή"
"Default Price Navigation Step","Προκαθορισμένο Βήμα Πλοήγησης Τιμής"
"Default Qty","Προκαθορισμένη Ποσότητα"
"Default Values","Προκαθορισμένο"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Καθορίζει την εμβέλεια του βασικού νομίσματος(""Διαμόρφωση Νομισμάτων"" > ""Επιλογές Νομίσματος"" > ""Βασικό Νόμισμα"")."
"Delete","Διαγραφή"
"Delete Attribute","Διαγραφή Χαρακτηριστικού"
"Delete Attribute Set","Διαγραφή Συνόλου Χαρακτηριστικών"
"Delete Category","Διαγραφή Κατηγορίας"
"Delete Group Price","Διαγραφή Τιμής Ομάδας"
"Delete Option","Διαγραφή Επιλογής"
"Delete Row","Διαγραφή Γραμμής"
"Delete Search","Διαγραφή Αναζήτησης"
"Delete Selected Group","Διαγραφή Επιλεγμένης Ομάδας"
"Delete Tier","Διαγραφή Πολλαπλών Τεμαχίων(Tier)"
"Delete attribute","Διαγραφή χαρακτηριστικού"
"Delete category","Διαγραφή κατηγορίας"
"Delete product","Διαγραφή προϊόντος"
"Depends on design theme","Εξαρτάται από το θέμα-μοτίβο σχεδιασμού"
"Design","Design"
"Details","Λεπτομέρειες"
"Disabled","Απενεργοποιημένο"
"Disallowed file type.","Μη επιτρεπόμενος τύπος αρχείου."
"Display Actual Price","Εμφάνιση Πραγματικής Τιμής"
"Display Page Control","Εμφάνιση Ελέγχου Σελίδας"
"Display Price Interval as One Price","Εμφάνιση Διαστήματος Τιμής ως Μία Τιμή"
"Display Product Count","Εμφάνιση Αριθμού Προϊόντων"
"Display Type","Εμφάνιση Τύπου"
"Display in Suggested Terms","Εμφάνιση με τους Προτεινόμενους Όρους"
"Double click on a group to rename it","Κάντε διπλό κλικ σε μια ομάδα για να τη μετονομάσετε"
"Double click on above image to view full picture","Κάντε διπλό κλικ στη παραπάνω εικόνα για εμφάνιση πλήρους εικόνας"
"Downloadable Information","Πληροφορίες Διαθέσιμες για Λήψη"
"Duplicate","Αντιγραφή"
"Duplicate amount found.","Το ποσό υπάρχει ήδη."
"Duplicate website group price customer group.","Η ομάδα πελατών υπάρχει ήδη στην τιμή ομάδας του ιστοτόπου"
"Duplicate website tier price customer group and quantity.","Αντιγραφή ιστότοπου, τιμής πολλαπλών τεμαχίων, τιμής, πελάτη, ομάδας και ποσότητας."
"Duplicate website, country and state tax found.","Αντιγραφή ιστότοπου, φόρου χώρας και νομού που βρέθηκαν."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Π.χ.  {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Η επεξεργασία δυναμικών εντολών/οδηγιών επιβαρύνει την απόδοση του καταλόγου."
"Edit","Επεξεργασία"
"Edit Attribute Set '%s'","Επεξεργασία Συνόλου Χαρακτηριστικών '%s'"
"Edit Product Attribute","Επεξεργασία Χαρακτηριστικού Προϊόντος"
"Edit Product Attribute ""%s""","Επεξεργασία Χαρακτηριστικού Προϊόντος ""%s"""
"Edit Search","Επεξεργασία Αναζήτησης"
"Edit Search '%s'","Επεξεργασία Αναζήτησης '%s'"
"Edit Set Name","Επεξεργασία Ονόματος Συνόλου"
"Email","Email"
"Email to a Friend","Αποστολή σε έναν Φίλο"
"Empty","Κενό"
"Enable MAP","Ενεργοποίηση ΕΔΤ"
"Enable Qty Increments","Ενεργοποίηση Βημάτων Ποσοτ."
"Enable WYSIWYG","Ενεργοποίηση WYSIWYG"
"Enable for reindexing a big number of SKUs.","Ενεργοποιήστε για την επανευρετηρίαση μεγάλου αριθμού SKUs."
"Enabled","Ενεργοποιημένο"
"Error during retrieval of option value: %s","Σφάλμα κατά την ανάκτηση της τιμής επιλογής: %s"
"Exclude","Εξαίρεση"
"Expand All","Ανάπτυξη Όλων"
"Failed","Απέτυχε"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Απέτυχε η αντιγραφή του αρχείου %s. Παρακαλούμε, διαγράψτε τα πολυμέσα που δεν έχουν εικόνες και προσπαθήστε πάλι."
"Failed to move file: %s","Αποτυχία μετακίνησης αρχείου: %s"
"Feature Products","Προϊόντα υπό Παρουσίαση"
"Field is not complete","Το Πεδίο δεν είναι συμπληρωμένο"
"File options format is not valid.","Η μορφοποίηση αρχείου επιλογών δεν είναι έγκυρη."
"File upload failed","Απέτυχε η μεταφόρτωση αρχείου"
"Filter","Φίλτρο"
"Filter model name must be declared.","Το όνομα μοντέλου φίλτρου πρέπει να δηλωθεί."
"Filter must be an object. Please set correct filter.","Το φίλτρο πρέπει να είναι αντικείμενο. Παρακαλούμε να ορίστε το σωστό φίλτρο."
"Filterable (no results)","Φιλτραρισμένο (χωρίς αποτελέσματα)"
"Filterable (with results)","Φιλτραρισμένο (με αποτελέσματα)"
"First Name","Όνομα"
"Fixed","Σταθερό"
"For internal use.","Για εσωτερική χρήση."
"For the last time placed.","Τοποθετημένο για τελευταία φορά."
"Frontend","Frontend"
"Frontend Model","Μοντέλο Frontend"
"Frontend Properties","Ιδιότητες Frontend"
"Gallery","Gallery"
"General Information","Γενικές Πληροφορίες"
"Get full information about attribute with list of options","Λήψη όλων των πληροφοριών για το χαρακτηριστικό με λίστα επιλογών"
"Get full information about custom option in product","Λήψη όλων των πληροφοριών για προσαρμοσμένη επιλογή στο προϊόν"
"Get list of available custom option types","Λήψη λίστας διαθέσιμων τύπων προσαρμοσμένων επιλογών"
"Get list of non-default attributes by product type and attributes set","Λήψη λίστας των μη-προκαθορισμένων χαρακτηριστικών ανά τύπο προϊόντος και συνόλου χαρακτηριστικών"
"Get list of possible attribute types","Λήψη λίστας διαθέσιμων τύπων χαρακτηριστικών"
"Get special price","Λήψη ειδικής τιμής"
"Global","Καθολικό"
"Globally Editable","Καθολικά Επεξεργάσιμο"
"Go to Home Page","Πήγαινε στην Αρχική Σελίδα"
"Grid","Πλέγμα"
"Group add","Προσθήκη Ομάδας"
"Group remove","Διαγραφή Ομάδας"
"Grouped Product","Ομαδοποιημένο Προϊόν"
"Groups","Ομάδες"
"Home","Αρχική"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Αν είναι κενό, θα χρησιμοποιηθεί το Όνομα Κατηγορίας "
"If empty, the Product Name will be used","Αν είναι κενό, θα χρησιμοποιηθεί το Όνομα Προϊόντος "
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Εάν δεν ορίσετε μία τιμη για την επιλογή στη συγκεκριμένη όψη καταστήματος, τότε θα χρησιμοποιηθεί η προκαθορισμένη τιμή (Διαχειριστή)."
"Image","Εικόνα"
"Image content is not valid base64 data.","Το περιεχόμενο της εικόνας δεν είναι έγκυρα δεδομένα base64."
"Image does not exist.","Η εικόνα δεν υπάρχει."
"Image file was not found.","Δεν βρέθηκε το αρχείο εικόνας."
"Image type and information need to be specified for each store view.","Ο τύπος και οι πληροφορίες εικόνας πρέπει να προσδιοριστούν για κάθε όψη καταστήματος."
"In Cart","Άμεσα για Αγορά"
"In Stock","Αμεσα Διαθέσιμο"
"In stock","Αμεσα διαθέσιμο"
"Incl. Tax","Συμπεριλαμβανόμενος Φόρος"
"Index product and categories URL rewrites","Ευρετηρίαση αναδιατυπώσεων URL προϊόντων και κατηγοριών"
"Index product attributes for layered navigation building","Ευρετηρίαση χαρακτηριστικών προϊόντος για την πλοήγηση σε επίπεδα"
"Index product prices","Ευρετηρίαση τιμών προϊόντος"
"Indexed category/products association","Συσχέτιση ευρετηριασμένων κατηγοριών / προϊόντων"
"Info","Πληροφορίες"
"Info Column Options Wrapper","Εμφάνιση Επιλογών Στήλης Πληροφοριών"
"Input Type","Τύπος Εισαγωγής"
"Integer","Ακέραιος"
"Interval Division Limit","Όριο Διαχωρισμού Μεσοδιαστήματος "
"Invalid Tier Prices","Μη Έγκυρες Τιμές Πολλαπλών Τεμαχίων (Tier) "
"Invalid attribute %s","Μη Έγκυρο χαρακτηριστικό %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Μη έγκυρη επιλογή χαρακτηριστικού προσδιορίστηκε για το χαρακτηριστικό %s (%s), παρακάμπτεται η εγγραφή."
"Invalid attribute set specified, skipping the record.","Μη έγκυρο σετ χαρακτηριστικών προσδιορίστηκε, παρακάμπτεται η εγγραφή."
"Invalid block: %s.","Άκυρο τμήμα: %s."
"Invalid category IDs.","Μη έγκυρο ID Κατηγορίας."
"Invalid category.","Μη έγκυρη κατηγορία."
"Invalid image file type.","Μη έγκυρος τύπος αρχείου εικόνας."
"Invalid image type.","Μη έγκυρος τύπος εικόνας."
"Invalid option ID specified for %s (%s), skipping the record.","Μη έγκυρη επιλογή ID προσδιορίστηκε για %s (%s), παρακάμπτεται η εγγραφή."
"Invalid product type specified, skipping the record.","Μη έγκυρος τύπος προϊόντος προσδιορίστηκε, παρακάμπτεται η εγγραφή."
"Invalid store specified","Προσδιορίστηκε άκυρο κατάστημα"
"Invalid store specified, skipping the record.","Προσδιορίστηκε μη έγκυρο κατάστημα, παρακάμπτεται η εγγραφή."
"Invalid tier prices. The product is not associated to the requested website.","Μη έγκυρες πολλαπλές τιμές. Το προϊόν δεν σχετίζεται με το ζητούμενο ιστότοπο."
"Inventory","Αποθήκη"
"Is Default","Είναι Προκαθορισμένο"
"Is Required","Απαιτείται "
"Items %s to %s of %s total","Είδη %s εώς %s από %s στο σύνολο"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Αντικείμενα τα οποία δεν επιθυμείτε να εμφανίζονται στον κατάλογο ή στα αποτελέσματα αναζήτησης πρέπει να έχουν ως κατάσταση 'Απενεργοποιημένο' στο ζητούμενο κατάστημα."
