"%s %s cycle.","%s %s κύκλος."
"* Required Fields","* Υποχρεωτικά Πεδία"
"Subscriber Name","Όνομα Συνδρομητή"
"Switch/Solo/Maestro Issue Number","Εναλλαγή / Μεμονωμένου / Αριθμού Έκδοσης Κάρτας-Maestro "
"Switch/Solo/Maestro Only","Εναλλαγή / Μεμονωμένης /  Μόνο Κάρτας-Maestro "
"Switch/Solo/Maestro Start Date","Εναλλαγή / Μεμονωμένης / Ημερομηνίας Έναρξης Κάρτας-Maestro "
"Tax Amount","Ποσό Φόρου"
"Test Mode","Σε δοκιμή"
"The date when billing for the profile begins.","Η ημ/νία που ξεκινά η χρέωση για το προφίλ."
"The number of billing cycles for payment period.","Ο αριθμός των κύκλων χρέωσης για τη περίοδο πληρωμής."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Ο αριθμός των προγραμματισμένων πληρωμών που μπορεί να αποτύχουν πριν ανασταλεί αυτόματα το προφίλ."
"The payment review action is unavailable.","Η λειτουργία αξιολόγησης πληρωμής δεν είναι διαθέσιμη. "
"The requested Payment Method is not available.","Η αιτούμενη Μέθοδος Πληρωμής δεν είναι διαθέσιμη."
"Title","Τίτλος"
"Trial Billing Amount","Δοκιμαστικό Ποσό Χρέωσης"
"Trial Billing Frequency","Δοκιμαστική Συχνότητα Χρέωσης"
"Trial Billing Period Unit","Δοκιμαστικό Σύνολο Περιόδου Χρέωσης"
"Trial Period","Περίοδος Δοκιμής"
"Trial billing amount is wrong.","Το δοκιμαστικό ποσό χρέωσης είναι λάθος."
"Trial billing period unit is wrong.","Το δοκιμαστικό σύνολο περιόδου χρέωσης είναι λάθος"
"Trial period frequency is wrong.","Η δοκιμαστική συχνότητα πληρωμής είναι λάθος."
"Trial period max cycles is wrong.","Η δοκιμαστική  περίοδος μέγιστων κύκλων είναι λάθος."
"Two Weeks","Δύο Εβδομάδες"
"Unable to save Billing Agreement:","Αδύνατον να αποθηκευτεί η Συμφωνία Χρέωσης:"
"Unit for billing during the subscription period.","Σύνολο για χρέωση κατά τη διάρκεια της περιόδου συνδρομής."
"Unsupported currency code: %s.","Μη υποστηριζόμενος κωδικός νομίσματος: %s."
"Void action is not available.","Η λειτουργία ακύρωσης δεν είναι διαθέσιμη."
"Week","Εβδομάδα"
"What is this?","Τι είναι αυτό;"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Είτε για να αναστείλει το προφίλ πληρωμής, εάν η αρχική χρέωση αποτύχει ή να το προσθέσετε στο οφειλόμενο υπόλοιπο."
"Wrong %s specified.","Το λάθος %s καθορίστηκε."
"Wrong or empty billing amount specified.","Καθορίστηκε λάθος ή κενό ποσό χρέωσης. "
"Year","Έτος"
"Zero Subtotal Checkout","Αγορά με Μηδενικό Μερικό Σύνολο"
