" Copy"," Αντιγραφή"
"Subscribed","Έχετε Εγγραφεί"
"Subscriber","Εγγεγραμμένος -η"
"Subscribers","Εγγεγραμμένοι -ες"
"Subscribers From","Εγγεγραμμένοι -ες Από "
"Subscription Options","Επιλογές Συνδρομής"
"Success Email Sender","Αποστολέας Email Επιτυχίας"
"Success Email Template","Πρότυπο(Template) Email Επιτυχίας"
"Template Content","Περιεχόμενο Προτύπου(Template)"
"Template Information","Στοιχεία Προτύπου(Template)"
"Template Name","Όνομα Προτύπου(Template)"
"Template Styles","Ύφος Προτύπου(Template)"
"Template Subject","Θέμα Προτύπου(Template)"
"Template Type","Τύπος Προτύπου(Template)"
"Thank you for your subscription.","Ευχαριστούμε για την εγγραφή σας."
"The subscription has been removed.","Η συνδρομή έχει αφαιρεθεί."
"The subscription has been saved.","Η συνδρομή έχει αποθηκευτεί."
"There was a problem with the subscription.","Υπήρξε ένα πρόβλημα με την συνδρομή."
"There was a problem with the subscription: %s","Υπήρξε ένα πρόβλημα με την συνδρομή: %s"
"There was a problem with the un-subscription.","Υπήρξε ένα πρόβλημα με την ακύρωση συνδρομής."
"This email address is already assigned to another user.","Αυτή η διεύθυνση ηλεκτρονικού ταχυδρομείου έχει ήδη καταχωρηθεί σε άλλο χρήστη."
"Type","Τύπος"
"Unconfirmed","Ανεπιβεβαίωτη"
"Unsubscribe","Ακύρωση Εγγραφής"
"Unsubscribe Selected","Επιλέχθηκε Ακύρωση Εγγραφής"
"Unsubscribed","Διαγεγραμμένος  -η"
"Unsubscription Email Sender","Αποστολέας Email ακύρωσης συνδρομής"
"Unsubscription Email Template","Πρότυπο(Template) Email ακύρωσης συνδρομής"
"View Newsletter","Εμφάνιση Δελτίου Νέων"
"Website","Ιστότοπος"
"You have been unsubscribed.","Έχετε διαγραφεί ως συνδρομητής."
"Your subscription has been confirmed.","Η συνδρομή σας έχει επιβεβαιωθεί."
